FrameNo,Joy Evidence,Anger Evidence,Surprise Evidence,Fear Evidence,Sadness Evidence
0,0.85852435,0.957722938,0.669688496,0.898893848,0.957073696
1,0.784693173,0.751188245,0.517466472,0.767946402,0.798208421
2,0,0.488564626,0.295437592,0.423435099,0.139998407
3,0.681610967,0.556967952,0.205836074,0.336678078,0.769789003
4,0.714951978,0.449412278,0.174668854,0.434161394,0.655665984
5,0.545568662,0.622123368,0.13816719,0.417081243,0.451831712
6,0.404409456,0.754325564,0.195173908,0.37305933,0.416000373
7,0.35667978,0.68355977,0.159910777,0.456098572,0.305846385
8,0.543366935,0.892526585,0.203748821,0.577255362,0.739302107
9,0.617587515,0.864279364,0.496784397,0.67818951,0.739178573
10,0.712035913,0.922827771,0.399078619,0.727957884,0.843769076
11,0.795663614,0.95310242,0.368364761,0.756502272,0.84003936
12,0.824774984,0.940850109,0.450186717,0.866927735,0.845084186
13,0.886705866,0.897376188,0.55622783,0.814268074,0.813920551
14,0.906998265,0.964974168,0.574835724,0.877518171,0.879561344
15,0.816164216,0.930993065,0.549018528,0.866024028,0.847014753
16,0.885637669,0.951787407,0.390301957,0.862085688,0.870130076
17,0.754223275,0.906715546,0.609306345,0.827128178,0.843505048
18,0.903148044,0.920135442,0.557205475,0.824251548,0.851298106
19,0.894146618,0.958335832,0.506498703,0.894598279,0.872398935
20,0.857163916,0.931998985,0.497595911,0.830154546,0.848726599
21,0.895443187,0.979083459,0.853486846,0.910556708,0.929863554
22,0.905019768,0.887957132,0.631669064,0.879925277,0.788361034
23,0.835210279,0.887938863,0.59011382,0.779768517,0.793066438
24,0.889907044,0.94038137,0.541970444,0.893597953,0.865781645
25,0.918551186,0.915996319,0.485460368,0.848255671,0.825006265
26,0.876404662,0.88820084,0.534042132,0.7762625,0.798933935
27,0.912376248,0.964614731,0.638338324,0.900867077,0.887297921
28,0.884519416,0.944856793,0.47401524,0.870276105,0.891373887
29,0.870684585,0.92301299,0.457903588,0.816166838,0.842199686
30,0.89611675,0.96735703,0.581647432,0.93069981,0.900282285
31,0.902185253,0.944529576,0.5164293,0.884540003,0.834509167
32,0.804342775,0.890676967,0.577671232,0.77658585,0.845258114
33,0.891000978,0.95807314,0.919413188,0.930298684,0.984107466
34,0.903611886,0.932594089,0.721111132,0.853353766,0.929897273
35,0.894931106,0.934292763,0.446348989,0.831288886,0.911525345
36,0.902971836,0.961974528,0.611217866,0.89012399,0.914440829
37,0.895685116,0.937162776,0.443257388,0.870321823,0.871925225
38,0.820223356,0.874898341,0.608054758,0.730433669,0.747331912
39,0.893351244,0.912076614,0.562657324,0.846963694,0.804889544
40,0.893237409,0.960843712,0.635603948,0.903898495,0.910748567
41,0.868200216,0.90512822,0.517110356,0.830343273,0.833219608
42,0.912782245,0.930917114,0.411379048,0.838879577,0.837302988
43,0.827193807,0.845996464,0.596169259,0.82128619,0.788534004
44,0.780176839,0.894757277,0.591239439,0.804689515,0.788455936
45,0.88341052,0.963975896,0.652956405,0.886473421,0.908996601
46,0.922682532,0.903528888,0.525742983,0.867837457,0.843900314
47,0.871501533,0.934772902,0.43858779,0.848650745,0.839463431
48,0.902876175,0.96221597,0.683865639,0.908285823,0.897346305
49,0.870556678,0.894784305,0.680477197,0.888266401,0.81976933
50,0.865219245,0.934089069,0.479812287,0.845028883,0.817383308
51,0.907134249,0.964932904,0.521416384,0.902825419,0.881509924
52,0.805011786,0.865870385,0.634126306,0.800131552,0.777584055
53,0.600166718,0.856682551,0.372182773,0.61765985,0.739109327
54,0.744374336,0.93725745,0.357562239,0.702577013,0.831126411
55,0.726574609,0.902984436,0.591514319,0.838110493,0.84583911
56,0.447834224,0.843481401,0.413105524,0.678053392,0.842228287
57,0.600011155,0.908417613,0.505205204,0.741518309,0.84879737
58,0.57029316,0.656860048,0.461546715,0.602116227,0.247473596
59,0.740606243,0.271506461,0.075582149,0.344241736,0.771541581
60,0.611980145,0.606269184,0.223091772,0.353582168,0.766034897
61,0.665651495,0.70441523,0.31851008,0.5523345,0.566293431
62,0.583729846,0.771222933,0.384591266,0.556944556,0.570912687
63,0.758382039,0.874509932,0.577634198,0.778353156,0.881038572
64,0.828618583,0.85502815,0.586159338,0.749083322,0.795884255
65,0.780662104,0.902250532,0.562017043,0.797462959,0.842812926
66,0.895589079,0.907052441,0.499317456,0.841007712,0.807836543
67,0.905440263,0.909920265,0.523891278,0.835301632,0.846497206
68,0.871142708,0.86361778,0.624559046,0.762754732,0.777074496
69,0.866438088,0.948179701,0.496512969,0.876238968,0.881465606
70,0.51198335,0.838495745,0.367939653,0.644720924,0.717465361
71,0.438261318,0.816827264,0.313758354,0.54671752,0.634456485
72,0.722606791,0.550017774,0.260895905,0.466941239,0.752320734
73,0.684869326,0.177897858,0.35174819,0.406657849,0.646708835
74,0.67122998,0.209485406,0.118848958,0.325038184,0.759718451
75,0.881608732,0.984305011,0.812613785,0.922280252,0.964432447
76,0.909464836,0.930933495,0.654831208,0.931525824,0.94007113
77,0.420882475,0.747385581,0.167394121,0.481226194,0.555684687
78,0.593313752,0.763635377,0.320189002,0.547786715,0.530829016
79,0.421379329,0.786963372,0.289587842,0.52925408,0.655627148
80,0.358897184,0.829571315,0.378634101,0.500639551,0.6854689
81,0.503056916,0.799913183,0.398664067,0.5958964,0.679046366
82,0.559942351,0.813799017,0.506916554,0.619140964,0.811465782
83,0.869625193,0.831217539,0.559046867,0.720304644,0.717931762
84,0.697737303,0.848397183,0.470726632,0.733683779,0.852292123
85,0.56878593,0.790391153,0.461827239,0.657910782,0.765899979
86,0.485535015,0.418280113,0.090661002,0.453355645,0.627878
87,0.492424354,0.336130107,0.189270113,0.573586784,0.428004518
88,0.955454658,0.970434139,0.831858661,0.954460488,0.968019065
89,0.947879552,0.963410352,0.722643287,0.944768763,0.900764719
90,0.822472367,0.962850586,0.589761419,0.887912765,0.907664804
91,0.802942093,0.673415316,0.559262446,0.802262808,0.710754902
92,0.919133416,0.938615007,0.691096919,0.94134941,0.855626443
93,0.902848406,0.833039053,0.712417319,0.886358073,0.940966423
94,0.746952648,0.436718779,0.288193726,0.429084434,0.882530024
95,0.569148292,0,0.132907201,0,0.620624078
96,0.775382616,0.448362125,0.173554594,0.409310425,0.790211218
97,0.885896092,0.861462274,0.517379575,0.8444671,0.914743897
98,0.837058812,0.934810297,0.42079947,0.841868808,0.930151312
99,0.482728934,0.730256916,0.106295682,0.341921972,0.782941511
100,0.838589898,0.664816833,0.478936838,0.731879325,0.824440658
101,0.771420028,0.696307589,0.524759425,0.7257616,0.834668834
102,0.87480591,0.945841825,0.492394141,0.871172585,0.905038842
103,0.89422862,0.642577459,0.483718701,0.767890622,0.694095684
104,0.830270803,0.952964738,0.518455214,0.86132255,0.898956452
105,0.418071892,0.783136784,0.160864262,0.470446612,0.707772023
106,0.833930267,0.874385014,0.510982274,0.847657154,0.862325944
107,0.361972901,0.782178614,0.393176924,0.599050023,0.863591008
108,0.394170888,0.806338577,0.440921571,0.581667467,0.802600578
109,0.656764456,0.824514213,0.583211447,0.608754322,0.775074077
110,0.532321968,0.7781317,0.41675983,0.58746024,0.669515942
111,0.106051024,0.579696794,0.227780698,0.50652735,0.227536475
112,0.422890058,0.753985198,0.229861172,0.574637556,0.497027461
113,0.400677735,0.799512363,0.368630328,0.543598697,0.571731844
114,0.551238656,0.822751127,0.404551338,0.550156707,0.73132519
115,0.357963066,0.821523233,0.454774881,0.493087852,0.676796934
116,0.436527321,0.841067648,0.415393012,0.528318802,0.793270306
117,0.703300474,0.870956925,0.452137264,0.648944595,0.748806306
118,0.914327064,0.849849847,0.548389525,0.838386093,0.836574301
119,0.845503946,0.844006385,0.536143701,0.768248811,0.809611715
120,0.88412926,0.929486846,0.43064427,0.820546315,0.844770081
121,0.865836668,0.857097744,0.462240276,0.747330727,0.760204298
122,0.881985379,0.787192901,0.565988907,0.754263007,0.723911564
123,0.843162434,0.888354417,0.443097442,0.738773804,0.774498371
124,0.703160802,0.731431981,0.54751907,0.704299098,0.77785886
125,0.804946515,0.837619636,0.427027196,0.69208472,0.786912962
126,0.874727545,0.563585047,0.56733033,0.837247653,0.904935951
127,0.824995266,0.510479023,0.359100724,0.556332218,0.861211843
128,0.866266107,0.65686228,0.474854422,0.690235113,0.918765031
129,0.919335009,0.74442897,0.495454937,0.745515828,0.884359774
130,0.874807327,0.745617574,0.645248504,0.809556749,0.915850972
131,0.909220623,0.679057017,0.336960958,0.706274226,0.827988792
132,0.908870917,0.85148637,0.588013234,0.830796824,0.937732753
133,0.85609676,0.749968372,0.443245993,0.702107299,0.809401205
134,0.914540861,0.768642553,0.546220541,0.77061312,0.897647076
135,0.871597683,0.770492553,0.459757511,0.734967209,0.872891623
136,0.730532093,0.582756632,0.269833757,0.545477699,0.822528315
137,0.887961834,0.710651015,0.490542273,0.735743526,0.8222779
138,0.879589773,0.912303043,0.713645566,0.845610814,0.939777026
139,0.927332229,0.741357125,0.555449474,0.777926351,0.841073683
140,0.690388122,0.761113045,0.398487434,0.340253997,0.680653135
141,0.700047596,0.632903153,0.381561807,0.356079181,0.71045678
142,0.802299685,0.710998459,0.480434511,0.551079816,0.721072425
143,0.653746008,0.564577424,0.332190246,0.448580067,0.601974202
144,0.863281711,0.804498477,0.45787757,0.660185928,0.81347175
145,0.611215749,0.66968467,0.222887345,0.514769216,0.662598245
146,0.380029459,0.604735037,0.071506792,0.335296573,0.546608892
147,0.571815153,0.625667741,0.384666308,0.575378167,0.706845011
148,0.704124884,0.438194125,0.391393544,0.587276914,0.625160988
149,0.4291586,0.65653352,0.189365376,0.442181969,0.598265957
150,0.843978629,0.787820734,0.470165883,0.668937773,0.784872596
151,0.786131972,0.738179732,0.491122666,0.611041512,0.720198856
152,0.464600145,0.701269075,0.379455424,0.467015451,0.284772372
153,0.388667795,0.761829633,0.320222664,0.441858142,0.777352345
154,0.538908359,0.752707788,0.26982741,0.486215726,0.683007433
155,0.590881973,0.703408766,0.339259669,0.507437889,0.677157531
156,0.495307483,0.812957488,0.41325971,0.495614065,0.839052466
157,0.697240236,0.721467628,0.435541861,0.528551864,0.674224199
158,0.70504473,0.748631884,0.511484479,0.556301475,0.671938709
159,0.787469779,0.847713453,0.45759006,0.649115688,0.746884623
160,0.778314998,0.781108231,0.496086653,0.647007549,0.745904946
161,0.68925971,0.795218291,0.466294042,0.515669773,0.673098684
162,0.716134749,0.826940085,0.460566826,0.723482027,0.832778752
163,0.846031378,0.832325929,0.468573587,0.673662904,0.762154187
164,0.900389611,0.786337085,0.533225506,0.728313735,0.772870223
165,0.836691308,0.786817717,0.52660335,0.692131266,0.698790872
166,0.570199945,0.754996744,0.518525388,0.564041101,0.750876094
167,0.361831411,0.70524931,0.319312155,0.520774291,0.672879969
168,0.757066206,0.762113545,0.565886351,0.610180309,0.710409881
169,0.77425532,0.821245583,0.52086702,0.658030001,0.723396425
170,0.726327023,0.808099565,0.472860917,0.632434623,0.733506166
171,0.747157603,0.837276669,0.520394637,0.687998253,0.770618409
172,0.903391918,0.912471425,0.527876853,0.847905225,0.916473658
173,0.900224654,0.900490993,0.509955208,0.846641108,0.88721218
174,0.888918517,0.857144268,0.433263343,0.750565463,0.778911969
175,0.896810393,0.953042628,0.79580842,0.914177683,0.94462685
176,0.907485361,0.796801085,0.660420844,0.842570703,0.870945548
177,0.755592602,0.632451644,0.54638623,0.756974981,0.874209851
178,0.711811668,0.299747824,0.258632902,0.599856372,0.854070505
179,0.891168644,0.749657224,0.636120262,0.824859489,0.92221086
180,0.88574961,0.872850033,0.603519458,0.81761134,0.927269046
181,0.620348594,0.662180931,0.195914365,0.559842223,0.772444597
182,0.917376492,0.87561652,0.681931066,0.836494211,0.919293048
183,0.840931986,0.814994888,0.370448813,0.724650324,0.72684776
